238,0.43145113579792543,1.7675329729223273,1.1642809514559864
198,0.43298208420210776,1.8138889282694088,1.1068995918548024
309,0.5913506561500614,2.3714831186972067,1.6683468689249814
360,0.5126986765022102,1.9787937729389034,1.5495473808682372
287,0.6086485167687046,2.5791987432900796,1.5021019529855124
168,0.5395153661529978,2.1006131329276365,1.6138643936552364
106,0.6614162434067692,2.9179805934551144,1.4383318450694254
55,0.5381460026645956,2.5607444927705427,0.7149177773625882
30,0.40397158811096967,1.7185278734621576,1.0451190278525058
194.55555555555554,0.52446447441737132,2.2009737365259308,1.3114899766699195
